b,alpha,status
5.19715242271,8.15613230801,escaped
5.19717489749,8.13392062279,escaped
5.19719787739,8.11170923073,escaped
5.19722137375,8.0894981378,escaped
5.1972453982,8.06728735018,escaped
5.19726996258,8.04507687403,escaped
5.19729507905,8.02286671558,escaped
5.19732076,8.00065688138,escaped
5.19734701813,7.97844737801,escaped
5.1973738664,7.95623821232,escaped
5.19740131808,7.93402939112,escaped
5.19742938674,7.91182092131,escaped
5.19745808622,7.88961281006,escaped
5.19748743073,7.86740506471,escaped
5.19751743474,7.84519769275,escaped
5.19754811309,7.82299070179,escaped
5.19757948093,7.8007840994,escaped
5.19761155375,7.77857789352,escaped
5.19764434741,7.75637209224,escaped
5.19767787809,7.73416670384,escaped
5.19771216237,7.7119617367,escaped
5.19774721718,7.68975719924,escaped
5.19778305984,7.66755310018,escaped
5.19781970805,7.64534944848,escaped
5.19785717993,7.62314625326,escaped
5.19789549398,7.6009435238,escaped
5.19793466912,7.57874126937,escaped
5.19797472473,7.55653949963,escaped
5.19801568057,7.53433822446,escaped
5.19805755688,7.5121374539,escaped
5.19810037436,7.48993719823,escaped
5.19814415415,7.46773746769,escaped
5.19818891788,7.44553827293,escaped
5.19823468767,7.42333962486,escaped
5.19828148612,7.40114153457,escaped
5.19832933636,7.37894401338,escaped
5.19837826202,7.35674707263,escaped
5.19842828727,7.33455072408,escaped
5.19847943683,7.31235497974,escaped
5.19853173597,7.2901598519,escaped
5.19858521052,7.26796535299,escaped
5.1986398869,7.24577149555,escaped
5.19869579211,7.22357829259,escaped
5.19875295379,7.20138575735,escaped
5.19881140016,7.17919390338,escaped
5.1988711601,7.15700274439,escaped
5.19893226313,7.13481229423,escaped
5.19899473944,7.11262256726,escaped
5.19905861989,7.09043357812,escaped
5.19912393604,7.06824534172,escaped
5.19919072016,7.04605787316,escaped
5.19925900523,7.02387118778,escaped
5.199328825,7.00168530141,escaped
5.19940021395,6.97950023021,escaped
5.19947320735,6.95731599062,escaped
5.19954784127,6.93513259922,escaped
5.19962415256,6.91295007303,escaped
5.19970217893,6.89076842952,escaped
5.19978195893,6.86858768648,escaped
5.19986353197,6.84640786203,escaped
5.19994693835,6.82422897443,escaped
5.20003221926,6.80205104253,escaped
5.20011941685,6.77987408558,escaped
5.20020857418,6.75769812319,escaped
5.2002997353,6.73552317527,escaped
5.20039294525,6.71334926202,escaped
5.20048825007,6.69117640426,escaped
5.20058569685,6.66900462319,escaped
5.20068533372,6.64683394045,escaped
5.20078720991,6.62466437786,escaped
5.20089137575,6.60249595784,escaped
5.20099788269,6.58032870333,escaped
5.20110678335,6.55816263772,escaped
5.20121813152,6.53599778473,escaped
5.20133198223,6.51383416847,escaped
5.2014483917,6.49167181373,escaped
5.20156741746,6.4695107458,escaped
5.20168911829,6.4473509904,escaped
5.20181355432,6.42519257357,escaped
5.20194078702,6.40303552204,escaped
